  36.91
 200.00
5276139478
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 01 01 12	34214.40	0.00	268.87	0.00	1.64	1.64	483.55
1980 01 02 12	34217.62	2.53	211.13	0.00	3.21	3.21	480.72
1980 01 03 12	34238.38	1.19	173.76	0.00	1.67	1.67	459.73
1980 01 04 12	34261.32	0.12	137.94	0.00	-1.41	-1.41	417.02
1980 01 05 12	34338.05	0.07	180.02	0.00	-2.34	-2.34	394.84
1980 01 06 12	34410.43	1.47	221.41	0.00	-1.37	-1.37	378.54
1980 01 07 12	34490.03	0.55	309.23	0.00	-1.01	-1.01	339.14
1980 01 08 12	34555.38	0.02	259.35	0.00	-1.76	-1.76	337.88
1980 01 09 12	34560.00	0.00	309.11	0.00	-3.97	-3.97	298.50
1980 01 10 12	34594.04	6.38	245.53	0.00	-0.66	-0.66	403.17
1980 01 11 12	34645.11	2.16	296.36	0.00	5.96	5.96	603.89
1980 01 12 12	34785.22	0.01	310.34	0.00	2.48	2.48	436.20
1980 01 13 12	34858.61	0.33	258.86	0.00	-0.77	-0.77	368.90
1980 01 14 12	34905.60	0.11	322.75	0.00	1.13	1.13	443.89
1980 01 15 12	34929.59	4.04	217.39	0.00	6.45	6.45	699.35
1980 01 16 12	34990.71	1.58	191.09	0.00	10.77	10.77	955.40
1980 01 17 12	35157.11	0.08	318.98	0.00	7.01	7.01	664.78
1980 01 18 12	35251.20	0.00	331.45	0.00	4.97	4.97	521.19
1980 01 19 12	35254.42	0.19	275.91	0.00	5.88	5.88	573.04
1980 01 20 12	35314.34	0.08	288.43	0.00	6.20	6.20	614.74
1980 01 21 12	35476.42	0.27	201.10	0.00	2.28	2.28	515.14
1980 01 22 12	35596.80	0.09	185.18	0.00	1.53	1.53	508.73
1980 01 23 12	35600.02	0.00	341.01	0.00	-1.99	-1.99	346.32
1980 01 24 12	35681.91	0.00	346.30	0.00	2.82	2.82	443.53
1980 01 25 12	35872.43	0.00	332.43	0.00	8.63	8.63	632.77
1980 01 26 12	35942.40	0.00	299.01	0.00	5.39	5.39	534.18
1980 01 27 12	35976.43	0.00	237.23	0.00	-1.52	-1.52	370.10
1980 01 28 12	36167.62	0.00	177.64	0.00	-4.74	-4.74	311.96
1980 01 29 12	36288.00	2.52	231.88	0.00	-6.63	-6.63	265.44
1980 01 30 12	36291.22	3.88	221.40	0.00	-5.71	-5.71	271.11
1980 01 31 12	36449.26	1.12	264.64	0.00	-8.35	-8.35	211.60
1980 02 01 12	36628.98	0.05	377.52	0.00	-11.10	-11.10	149.23
1980 02 02 12	36633.60	0.42	284.09	0.00	-7.73	-7.73	213.41
1980 02 03 12	36757.25	0.25	194.96	0.00	-4.08	-4.08	321.17
1980 02 04 12	36974.58	6.52	272.40	0.00	-4.93	-4.93	297.57
1980 02 05 12	36979.20	2.60	317.77	0.00	-2.23	-2.23	346.74
1980 02 06 12	37102.85	0.15	369.92	0.00	-2.35	-2.35	327.04
1980 02 07 12	37324.80	13.00	239.31	0.00	-3.29	-3.29	327.81
1980 02 08 12	37324.80	5.77	194.73	0.00	-3.08	-3.08	360.80
1980 02 09 12	37486.06	0.48	250.74	0.00	-4.06	-4.06	322.34
1980 02 10 12	37670.40	0.00	415.00	0.00	-6.00	-6.00	233.44
1980 02 11 12	37673.62	0.00	427.35	0.00	-5.31	-5.31	211.25
1980 02 12 12	37921.91	0.00	446.11	0.00	-7.09	-7.09	166.50
1980 02 13 12	38016.00	0.00	447.08	0.00	-5.51	-5.51	210.35
1980 02 14 12	38039.98	7.87	342.67	0.00	0.38	0.38	388.10
1980 02 15 12	38356.98	9.42	308.32	0.00	5.82	5.82	555.58
1980 02 16 12	38361.60	2.30	424.11	0.00	-2.56	-2.56	278.83
1980 02 17 12	38446.71	0.01	452.67	0.00	-7.66	-7.66	179.35
1980 02 18 12	38707.20	0.02	443.40	0.00	-4.70	-4.70	245.68
1980 02 19 12	38707.20	0.42	308.74	0.00	0.40	0.40	435.49
1980 02 20 12	38982.83	0.24	298.19	0.00	5.20	5.20	654.88
1980 02 21 12	39052.80	0.06	405.31	0.00	9.83	9.83	786.16
1980 02 22 12	39099.72	0.02	425.27	0.00	11.82	11.82	777.96
1980 02 23 12	39398.40	0.04	413.97	0.00	9.74	9.74	690.06
1980 02 24 12	39398.40	1.28	283.31	0.00	5.16	5.16	553.61
1980 02 25 12	39674.03	0.42	411.23	0.00	0.47	0.47	365.61
1980 02 26 12	39744.00	0.00	482.41	0.00	-5.15	-5.15	223.61
1980 02 27 12	39767.98	0.00	475.78	0.00	0.92	0.92	373.44
1980 02 28 12	40089.60	0.00	456.89	0.00	8.92	8.92	598.74
1980 02 29 12	40089.60	0.65	444.15	0.00	2.53	2.53	403.78
1980 03 01 12	40411.28	1.31	427.96	0.00	-3.86	-3.86	208.52
1980 03 02 12	40435.20	0.12	475.29	0.00	-8.52	-8.52	166.23
1980 03 03 12	40482.12	0.02	475.25	0.00	-4.46	-4.46	252.95
1980 03 04 12	40780.80	0.16	354.95	0.00	2.10	2.10	446.10
1980 03 05 12	40780.80	0.05	446.34	0.00	2.82	2.82	434.01
1980 03 06 12	41126.40	0.00	488.45	0.00	0.90	0.90	373.60
1980 03 07 12	41126.40	0.43	413.24	0.00	7.08	7.08	571.39
1980 03 08 12	41322.43	0.17	465.98	0.00	10.73	10.73	630.32
1980 03 09 12	41472.00	0.01	493.77	0.00	5.00	5.00	421.40
1980 03 10 12	41472.00	0.00	500.00	0.00	7.09	7.09	472.18
1980 03 11 12	41817.60	3.30	395.72	0.00	6.21	6.21	429.25
1980 03 12 12	41817.60	2.13	284.06	0.00	4.22	4.22	485.58
1980 03 13 12	42163.20	0.37	216.09	0.00	1.80	1.80	497.10
1980 03 14 12	42163.20	0.02	490.49	0.00	0.88	0.88	381.43
1980 03 15 12	42166.42	1.15	463.69	0.00	6.94	6.94	540.80
1980 03 16 12	42508.80	14.19	330.22	0.00	11.75	11.75	793.81
1980 03 17 12	42508.80	5.32	379.71	0.00	8.55	8.55	659.91
1980 03 18 12	42854.40	0.24	508.38	0.00	4.30	4.30	467.15
1980 03 19 12	42854.40	0.59	450.21	0.00	8.41	8.41	648.50
1980 03 20 12	43200.00	22.66	327.81	0.00	11.35	11.35	812.96
1980 03 21 12	43200.00	8.03	442.99	0.00	8.13	8.13	635.92
1980 03 22 12	43200.00	0.32	504.91	0.00	5.66	5.66	518.79
1980 03 23 12	43545.60	11.21	343.05	0.00	10.38	10.38	749.41
1980 03 24 12	43545.60	4.18	306.61	0.00	9.44	9.44	762.77
