  34.78
  11.00
1550739719
dayl(s) prcp(mm/day) srad(W/m2) swe(mm) tmax(C) tmin(C) vp(Pa)
1980 01 01 12	34905.60	0.13	279.80	0.00	8.39	8.39	691.74
1980 01 02 12	34905.60	0.03	260.97	0.00	4.23	4.23	516.07
1980 01 03 12	34905.60	0.01	300.83	0.00	3.46	3.46	483.02
1980 01 04 12	34905.60	6.61	195.04	0.00	4.48	4.48	562.56
1980 01 05 12	35251.20	2.25	162.84	0.00	4.04	4.04	574.39
1980 01 06 12	35251.20	0.13	236.44	0.00	0.69	0.69	446.93
1980 01 07 12	35251.20	1.76	231.37	0.00	1.64	1.64	457.18
1980 01 08 12	35251.20	12.64	209.15	0.00	6.73	6.73	672.70
1980 01 09 12	35251.20	6.40	141.00	0.00	7.92	7.92	769.83
1980 01 10 12	35251.20	0.85	213.48	0.00	3.68	3.68	618.83
1980 01 11 12	35251.20	14.57	234.23	0.00	7.84	7.84	734.54
1980 01 12 12	35596.80	3.89	275.74	0.00	11.46	11.46	841.58
1980 01 13 12	35596.80	1.79	183.47	0.00	7.27	7.27	722.68
1980 01 14 12	35596.80	4.61	103.28	0.00	5.74	5.74	753.74
1980 01 15 12	35596.80	1.15	220.33	0.00	7.36	7.36	794.92
1980 01 16 12	35596.80	0.02	318.36	0.00	8.21	8.21	711.35
1980 01 17 12	35942.40	0.25	247.81	0.00	6.99	6.99	640.04
1980 01 18 12	35942.40	8.42	207.78	0.00	8.43	8.43	753.43
1980 01 19 12	35942.40	2.32	302.63	0.00	7.81	7.81	688.51
1980 01 20 12	35942.40	0.03	340.59	0.00	7.00	7.00	602.26
1980 01 21 12	35942.40	0.00	326.73	0.00	7.69	7.69	668.76
1980 01 22 12	36288.00	6.62	229.83	0.00	9.74	9.74	825.76
1980 01 23 12	36288.00	7.52	220.76	0.00	11.55	11.55	883.01
1980 01 24 12	36288.00	1.52	348.68	0.00	3.94	3.94	510.80
1980 01 25 12	36288.00	0.00	333.27	0.00	6.26	6.26	632.68
1980 01 26 12	36633.60	1.45	216.07	0.00	9.44	9.44	816.68
1980 01 27 12	36633.60	6.53	213.76	0.00	7.20	7.20	724.27
1980 01 28 12	36633.60	1.70	221.72	0.00	5.33	5.33	656.64
1980 01 29 12	36979.20	0.02	327.33	0.00	5.82	5.82	624.39
1980 01 30 12	36979.20	5.82	263.91	0.00	4.01	4.01	509.01
1980 01 31 12	36979.20	3.43	128.42	0.00	0.03	0.03	426.50
1980 02 01 12	36979.20	0.59	289.83	0.00	-4.71	-4.71	298.40
1980 02 02 12	37324.80	0.02	324.97	0.00	-5.22	-5.22	267.51
1980 02 03 12	37324.80	0.00	340.85	0.00	-4.81	-4.81	268.58
1980 02 04 12	37324.80	0.00	350.17	0.00	-4.47	-4.47	275.06
1980 02 05 12	37670.40	0.26	315.96	0.00	-3.43	-3.43	305.21
1980 02 06 12	37670.40	10.54	314.46	0.00	-1.50	-1.50	340.65
1980 02 07 12	37670.40	2.75	338.76	0.00	-2.29	-2.29	339.38
1980 02 08 12	38016.00	0.01	388.45	0.00	-1.66	-1.66	342.98
1980 02 09 12	38016.00	16.49	317.74	0.00	-0.40	-0.40	394.20
1980 02 10 12	38016.00	5.06	183.93	0.00	1.20	1.20	488.91
1980 02 11 12	38361.60	0.19	415.33	0.00	-1.48	-1.48	361.19
1980 02 12 12	38361.60	0.00	442.05	0.00	0.72	0.72	377.84
1980 02 13 12	38361.60	0.00	438.13	0.00	1.63	1.63	401.73
1980 02 14 12	38707.20	0.00	445.66	0.00	2.51	2.51	427.58
1980 02 15 12	38707.20	0.14	370.03	0.00	5.51	5.51	504.70
1980 02 16 12	38707.20	0.71	362.58	0.00	8.49	8.49	609.42
1980 02 17 12	39052.80	0.21	435.38	0.00	6.04	6.04	480.79
1980 02 18 12	39052.80	0.01	462.45	0.00	-0.55	-0.55	317.65
1980 02 19 12	39052.80	2.12	365.04	0.00	1.88	1.88	399.59
1980 02 20 12	39398.40	2.57	333.99	0.00	5.97	5.97	619.13
1980 02 21 12	39398.40	1.87	340.48	0.00	11.07	11.07	858.02
1980 02 22 12	39398.40	0.61	356.93	0.00	13.95	13.95	1059.95
1980 02 23 12	39744.00	1.57	291.91	0.00	17.67	17.67	1343.52
1980 02 24 12	39744.00	0.51	357.91	0.00	15.57	15.57	1053.64
1980 02 25 12	39744.00	1.56	332.38	0.00	15.07	15.07	969.87
1980 02 26 12	40089.60	0.51	342.95	0.00	5.71	5.71	550.96
1980 02 27 12	40089.60	0.03	458.15	0.00	1.20	1.20	376.70
1980 02 28 12	40435.20	0.00	464.32	0.00	3.93	3.93	449.86
1980 02 29 12	40435.20	5.34	397.55	0.00	3.51	3.51	432.96
1980 03 01 12	40435.20	10.67	330.79	0.00	3.09	3.09	416.06
1980 03 02 12	40780.80	27.11	234.26	0.00	-3.95	-3.95	295.50
1980 03 03 12	40780.80	12.62	279.80	0.00	-6.53	-6.53	246.65
1980 03 04 12	40780.80	1.64	535.37	0.00	-5.13	-5.13	216.12
1980 03 05 12	41126.40	0.99	412.29	0.00	1.11	1.11	370.50
1980 03 06 12	41126.40	1.20	306.85	0.00	7.10	7.10	647.24
1980 03 07 12	41472.00	0.33	447.22	0.00	5.97	5.97	578.87
1980 03 08 12	41472.00	3.10	388.35	0.00	11.17	11.17	882.18
1980 03 09 12	41472.00	0.82	202.51	0.00	17.00	17.00	1376.19
1980 03 10 12	41817.60	0.00	516.79	0.00	11.28	11.28	821.90
1980 03 11 12	41817.60	0.00	463.75	0.00	11.69	11.69	787.49
