1																				
1																				
1																				
Year	Mnth	Day	DAEV	DAPR	DAWM	EVAP	MDEV	MDPR	MDWM	MNPN	MXPN	prcp(mm/day)	SN32	SNOW	SNWD	SX32	tmax(C)_daymet	tmin(C)_daymet	TOBS	WDMV
1980	1	1	0	0	0	0.07	0	0	0	39	48	0	0	0	0	0	48	40	43	28
1980	1	2	0	0	0	0.03	0	0	0	37	49	0	0	0	0	0	55	33	33	6.2
1980	1	3	0	0	0	0.03	0	0	0	39	48	0	0	0	0	0	0	33	43	1.9
1980	1	4	0	0	0	0.05	0	0	0	39	57	0.29	0	0	0	0	67	33	42	24.2
1980	1	5	0	0	0	0	0	0	0	38	47	0	0	0	0	0	45	32	40	28
1980	1	6	0	0	0	0	0	0	0	34	43	0	0	0	0	0	48	28	38	8.1
1980	1	7	0	0	0	0	0	0	0	34	51	0	0	0	0	0	60	37	58	6.2
1980	1	8	0	0	0	0.01	0	0	0	49	62	0.21	0	0	0	0	65	58	60	3.1
1980	1	9	0	0	0	0.02	0	0	0	46	66	0.1	0	0	0	0	67	54	58	0
1980	1	10	0	0	0	0.05	0	0	0	56	68	0	0	0	0	0	71	55	60	1.2
1980	1	11	0	0	0	0	0	0	0	57	65	2.14	0	0	0	0	68	59	60	3.7
1980	1	12	0	0	0	0	0	0	0	45	66	0.28	0	0	0	0	66	45	45	8.1
1980	1	13	0	0	0	0.09	0	0	0	41	57	0	0	0	0	0	60	45	54	6.8
1980	1	14	0	0	0	0.06	0	0	0	48	58	0	0	0	0	0	60	50	50	6.2
1980	1	15	0	0	0	0.03	0	0	0	45	59	0	0	0	0	0	57	44	46	1.2
1980	1	16	0	0	0	0.02	0	0	0	45	64	0	0	0	0	0	67	46	55	1.2
1980	1	17	0	0	0	0.02	0	0	0	54	63	0.64	0	0	0	0	65	54	64	3.1
1980	1	18	0	0	0	0.03	0	0	0	58	66	0.99	0	0	0	0	67	58	58	14.9
1980	1	19	0	0	0	0.07	0	0	0	50	67	0	0	0	0	0	68	48	50	19.9
1980	1	20	0	0	0	0.03	0	0	0	50	63	0	0	0	0	0	67	47	55	13
1980	1	21	0	0	0	0.03	0	0	0	52	64	0	0	0	0	0	70	51	52	8.7
1980	1	22	0	0	0	0.03	0	0	0	52	63	0	0	0	0	0	65	52	63	8.1
